model,tag
models/facebook/fasttext-language-identification,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification
models/distilbert-base-uncased-finetuned-sst-2-english,text-classification
models/google/vit-base-patch16-224,image-classification
models/google/vit-base-patch16-224,image-classification
models/ProsusAI/finbert,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment,text-classification
models/cardiffnlp/twitter-roberta-base-sentiment,text-classification
models/Falconsai/nsfw_image_detection,image-classification
models/Falconsai/nsfw_image_detection,image-classification
models/Falconsai/nsfw_image_detection,image-classification
models/nlptown/bert-base-multilingual-uncased-sentiment,text-classification
models/nlptown/bert-base-multilingual-uncased-sentiment,text-classification
models/microsoft/resnet-50,image-classification
models/kredor/punctuate-all,token-classification
models/j-hartmann/emotion-english-distilroberta-base,text-classification
models/unitary/toxic-bert,text-classification
models/dslim/bert-large-NER,token-classification
models/siebert/sentiment-roberta-large-english,text-classification
models/siebert/sentiment-roberta-large-english,text-classification
models/nateraw/food,image-classification
models/microsoft/swin-tiny-patch4-window7-224,image-classification
models/roberta-base-openai-detector,text-classification
models/bhadresh-savani/bert-base-uncased-emotion,text-classification
models/cross-encoder/stsb-roberta-large,text-classification
models/ivanlau/language-detection-fine-tuned-on-xlm-roberta-base,text-classification
models/KoalaAI/Text-Moderation,text-classification
models/christian-phu/bert-finetuned-japanese-sentiment,text-classification
models/sociocom/MedNERN-CR-JA,token-classification
models/microsoft/MiniLM-L12-H384-uncased,text-classification
models/arpanghoshal/EmoRoBERTa,text-classification
models/crypter70/IndoBERT-Sentiment-Analysis,text-classification
models/hatmimoha/arabic-ner,token-classification
models/amrul-hzz/watermark_detector,image-classification
models/ss108/legal-citation-bert,token-classification
models/adibvafa/CodonTransformer,token-classification
models/IlyaGusev/rubert_ext_sum_gazeta,token-classification
models/tarekziade/pardonmyai,text-classification
models/sadickam/sdg-classification-bert,text-classification
models/remzicam/privacy_intent,text-classification
models/rafalosa/diabetic-retinopathy-224-procnorm-vit,image-classification
models/serpapi/bert-base-local-results,text-classification
models/Wikidepia/SB-AutoSegment,token-classification
models/Mozilla/docornot,image-classification
models/Shakhovak/samolet,token-classification
models/theta/sentcore,token-classification
models/Nafin/hate_speech,text-classification
models/Nafin/hate_speech,text-classification
models/wenh06/numbda-webnews,text-classification
models/Anshler/vietnamese-poem-classifier,text-classification
